,Instrument,Date,Price Open,Price High,Price Low,Price Close,Volume
441,GOOGL.O,2017-10-02T00:00:00Z,975.65,977.74,961.95,967.47,1539122
442,GOOGL.O,2017-10-03T00:00:00Z,967.56,972.44,962.705,972.08,1083948
443,GOOGL.O,2017-10-04T00:00:00Z,971.76,974.4,965.61,966.78,1057769
444,GOOGL.O,2017-10-05T00:00:00Z,972.79,986.5085,970.27,985.19,1780946
445,GOOGL.O,2017-10-06T00:00:00Z,980.0,994.26,978.51,993.64,1553033
446,GOOGL.O,2017-10-09T00:00:00Z,995.0,1000.46,991.5,992.31,1295467
447,GOOGL.O,2017-10-10T00:00:00Z,995.3,997.47,981.11,987.8,1163400
448,GOOGL.O,2017-10-11T00:00:00Z,989.04,1007.565,987.94,1005.65,1814999
449,GOOGL.O,2017-10-12T00:00:00Z,1003.84,1011.5388,1001.1,1005.65,1530664
450,GOOGL.O,2017-10-13T00:00:00Z,1009.11,1014.76,1007.06,1007.87,1327632
451,GOOGL.O,2017-10-16T00:00:00Z,1009.63,1012.0,1001.52,1009.35,1071023
452,GOOGL.O,2017-10-17T00:00:00Z,1007.44,1014.56,1006.05,1011.0,1012998
453,GOOGL.O,2017-10-18T00:00:00Z,1011.05,1016.3091,1005.32,1012.74,1279780
454,GOOGL.O,2017-10-19T00:00:00Z,1004.75,1007.322,997.3,1001.84,1714243
455,GOOGL.O,2017-10-20T00:00:00Z,1007.05,1008.65,1002.27,1005.07,1606031
456,GOOGL.O,2017-10-23T00:00:00Z,1005.18,1005.7938,983.1,985.54,1639294
457,GOOGL.O,2017-10-24T00:00:00Z,986.5,989.26,977.08,988.49,1445129
458,GOOGL.O,2017-10-25T00:00:00Z,986.27,994.43,977.722,991.46,1528710
459,GOOGL.O,2017-10-26T00:00:00Z,998.47,1006.51,990.47,991.42,2369838
460,GOOGL.O,2017-10-27T00:00:00Z,1030.99,1063.62,1026.85,1033.67,5184143
